2010-01-01,21769.785416666666
2010-01-02,19040.81701388889
2010-01-03,15762.25486111111
2010-01-04,14196.817013888889
2010-01-05,13046.03090277778
2010-01-06,12028.132986111112
2010-01-07,10449.474305555555
2010-01-08,10084.02986111111
2010-01-09,8751.577777777778
2010-01-10,8729.820138888888
2010-01-11,8034.399305555557
2010-01-12,7421.876041666666
2010-01-13,6714.581944444444
2010-01-14,6861.825347222222
2010-01-15,6553.230208333333
2010-01-16,6573.006597222222
2010-01-17,7075.701041666666
2010-01-18,10235.479861111111
2010-01-19,21763.138194444444
2010-01-20,34725.552777777775
2010-01-21,30362.598958333332
2010-01-22,26046.54375
2010-01-23,23889.65763888889
2010-01-24,22721.319444444445
2010-01-25,28855.29548611111
2010-01-26,103148.140625
2010-01-27,145929.50694444444
2010-01-28,80412.36215277777
2010-01-29,48434.96597222222
2010-01-30,35466.95798611111
2010-01-31,27032.688194444443
2010-02-01,21943.777083333334
2010-02-02,19238.127083333333
2010-02-03,17760.34027777778
2010-02-04,17167.079166666666
2010-02-05,15329.015972222222
2010-02-06,15025.572916666666
2010-02-07,13830.727083333333
2010-02-08,13074.598611111114
2010-02-09,12551.647222222222
2010-02-10,12161.345833333333
2010-02-11,11527.883680555555
2010-02-12,12236.6125
2010-02-13,11324.919444444444
2010-02-14,11083.447916666666
2010-02-15,10785.466666666667
2010-02-16,10498.786458333334
2010-02-17,10032.882638888888
2010-02-18,9925.66701388889
2010-02-19,10403.653472222222
2010-02-20,10901.569444444445
2010-02-21,11634.66875
2010-02-22,12711.128472222223
2010-02-23,14350.37638888889
2010-02-24,18284.604166666668
2010-02-25,22939.413541666665
2010-02-26,26717.811805555557
2010-02-27,26372.264583333334
2010-02-28,23395.38472222222
2010-03-01,21646.947222222225
2010-03-02,22269.63472222222
2010-03-03,22925.555555555555
2010-03-04,24016.181944444445
2010-03-05,24533.375
2010-03-06,23928.895833333332
2010-03-07,23439.0375
2010-03-08,22828.18333333333
2010-03-09,22892.26388888889
2010-03-10,24209.4
2010-03-11,26482.196527777778
2010-03-12,33825.11493055556
2010-03-13,83797.86666666665
2010-03-14,167307.765625
2010-03-15,192583.93402777778
2010-03-16,128263.99930555555
2010-03-17,74739.40138888889
2010-03-18,55917.49618055556
2010-03-19,45416.24201388889
2010-03-20,37458.36666666667
2010-03-21,31075.812152777784
2010-03-22,27972.076041666667
2010-03-23,26200.50868055555
2010-03-24,25112.03263888889
2010-03-25,26050.780902777777
2010-03-26,23596.480555555554
2010-03-27,20994.548958333333
2010-03-28,19693.084375
2010-03-29,25431.878472222223
2010-03-30,56561.76354166667
2010-03-31,57727.885416666664
2010-04-01,41939.63159722222
2010-04-02,32339.930555555555
2010-04-03,26284.515277777777
2010-04-04,22684.508333333335
2010-04-05,19811.188194444443
2010-04-06,17668.431249999998
2010-04-07,16003.566666666668
2010-04-08,14710.99375
2010-04-09,14277.778125
2010-04-10,13210.079861111111
2010-04-11,12344.971527777778
2010-04-12,11638.440972222223
2010-04-13,11020.802777777777
2010-04-14,10526.719444444445
2010-04-15,9873.770138888887
2010-04-16,9370.162847222222
2010-04-17,9076.584375
2010-04-18,9125.305555555555
2010-04-19,8389.146527777777
2010-04-20,8128.122222222222
2010-04-21,7904.333333333333
2010-04-22,7847.530555555555
2010-04-23,7555.064583333334
2010-04-24,7224.170138888889
2010-04-25,7100.34375
2010-04-26,9191.661805555555
2010-04-27,11227.618055555555
2010-04-28,12133.740277777777
2010-04-29,11820.793055555556
2010-04-30,9883.64375
2010-05-01,8556.856944444444
2010-05-02,7875.845486111111
2010-05-03,7776.871875
2010-05-04,7966.096527777778
2010-05-05,12592.333333333334
2010-05-06,12284.694444444445
2010-05-07,10039.894791666668
2010-05-08,8708.025
2010-05-09,7486.640277777778
2010-05-10,6685.9788194444445
2010-05-11,6120.364583333333
2010-05-12,6255.794444444445
2010-05-13,6651.626388888889
2010-05-14,6632.035069444444
2010-05-15,6984.385416666667
2010-05-16,6582.803472222222
2010-05-17,6361.028472222222
2010-05-18,6555.208333333333
2010-05-19,6407.166666666667
2010-05-20,8244.970486111111
2010-05-21,10437.255555555555
2010-05-22,10310.186458333334
2010-05-23,16930.44236111111
2010-05-24,20904.10138888889
2010-05-25,24680.977083333335
2010-05-26,16151.454166666666
2010-05-27,12872.882638888888
2010-05-28,11597.966666666667
2010-05-29,10515.083680555555
2010-05-30,9147.553125
2010-05-31,9642.139583333335
2010-06-01,10405.560416666667
2010-06-02,9058.506944444443
2010-06-03,7572.8375
2010-06-04,7108.037152777778
2010-06-05,6828.709027777778
2010-06-06,6181.220138888889
2010-06-07,6146.886458333333
2010-06-08,6693.068055555557
2010-06-09,6247.756597222222
2010-06-10,7070.209722222222
2010-06-11,6841.533680555555
2010-06-12,5901.945486111111
2010-06-13,5315.481597222222
2010-06-14,5112.260416666667
2010-06-15,4880.655902777778
2010-06-16,4725.307291666667
2010-06-17,4372.759722222222
2010-06-18,3976.5631944444444
2010-06-19,3584.7274305555557
2010-06-20,3410.0604166666667
2010-06-21,3200.007638888889
2010-06-22,2955.625
2010-06-23,2791.9822916666667
2010-06-24,2619.4725694444446
2010-06-25,2391.91875
2010-06-26,2260.6881944444444
2010-06-27,2060.193402777778
2010-06-28,2361.8920138888893
2010-06-29,2685.4086805555553
2010-06-30,2057.5225694444443
2010-07-01,1990.4166666666667
2010-07-02,1806.7041666666667
2010-07-03,1763.3267361111111
2010-07-04,1695.8902777777778
2010-07-05,1531.1243055555556
2010-07-06,1438.7128472222223
2010-07-07,1313.673611111111
